,Unnamed: 0,KID,Prot,Kepmag,B-V,Scatter,Var,Notes1,Notes2,Notes3
208,208,8043142,3.238,13.745,0.624,4.7,Spots,0,1,0
209,209,8043775,17.835,15.059,0.649,1.92,Faculae,0,0,0
210,210,8078425,9.687,13.572,0.65,7.75,Spots,0,0,0
211,211,8078753,18.932,12.368,0.601,0.64,Faculae,0,0,1
212,212,8086600,14.959,14.719,0.64,3.63,Spots,0,0,1
213,213,8128228,8.379,15.117,0.6759999999999999,7.6,,0,0,0
214,214,8150725,13.838,14.844,0.633,3.64,Spots,0,0,0
215,215,8172906,14.503,14.69,0.62,3.72,Spots,0,0,0
216,216,8214259,4.635,14.938,0.639,12.85,,0,0,1
217,217,8221901,14.927,14.177,0.669,2.52,Spots,0,0,0
218,218,8231476,10.223,14.679,0.6609999999999999,5.41,Spots,0,0,0
219,219,8243228,25.832,13.342,0.608,0.97,Faculae,0,0,0
220,220,8264039,7.148,13.684,0.645,7.73,Spots,0,0,0
221,221,8291864,17.927,14.014,0.653,2.44,,0,0,0
222,222,8296359,14.262,15.197,,6.43,Spots,0,0,1
223,223,8298968,10.806,15.268,0.6890000000000001,6.4,Faculae,0,0,0
224,224,8330370,8.769,14.237,0.613,5.47,Spots,0,0,0
225,225,8345997,17.475,14.651,0.664,3.25,Spots,0,1,1
226,226,8350026,3.603,9.542,,7.78,,0,0,0
227,227,8358772,14.944,15.189,0.746,3.41,,0,0,0
228,228,8376279,5.391,14.333,0.64,7.77,Spots,0,0,0
229,229,8396113,1.776,13.845,0.654,12.59,,1,0,0
230,230,8445367,5.977,15.325,0.727,5.58,Spots,0,0,0
231,231,8544875,14.773,13.913,0.623,6.5,Spots,0,0,1
232,232,8557980,16.004,13.157,0.5710000000000001,2.66,Spots,0,0,0
233,233,8565177,18.762,14.305,0.653,1.73,Spots,0,0,0
234,234,8618120,8.204,15.119000000000002,0.629,3.32,Spots,0,0,0
235,235,8625143,15.0,14.101,0.632,2.7,Spots,0,0,1
236,236,8676163,17.262999999999998,15.703,0.6920000000000001,5.37,Spots,0,0,1
237,237,8736828,13.17,14.486,0.623,4.12,Spots,0,0,1
238,238,8759594,4.954,13.640999999999998,0.62,1.92,,0,1,0
239,239,8804069,14.442,13.615,0.581,5.96,Spots,0,1,1
240,240,8814296,12.938,14.782,0.667,2.07,Spots,0,0,0
241,241,8935644,3.636,15.303,0.615,6.28,,0,0,1
242,242,8936541,13.595999999999998,11.446,0.591,2.96,Spots,0,0,1
243,243,8949512,23.856,14.694,0.604,1.51,Spots,0,0,0
244,244,8952407,16.368,15.407,0.662,6.65,Spots,0,0,0
245,245,8958682,11.167,11.630999999999998,0.5720000000000001,1.82,Spots,0,0,1
246,246,9001624,16.043,14.315,,4.56,Spots,0,0,0
247,247,9012244,8.274,13.797,0.58,3.24,,0,0,1
248,248,9044728,14.436,12.183,0.629,1.74,Spots,0,0,0
249,249,9077491,7.647,13.227,0.5710000000000001,6.97,Spots,0,0,0
250,250,9094773,10.338,12.242,0.562,1.04,Faculae,0,0,1
251,251,9095289,13.390999999999998,15.297,0.687,5.59,Spots,0,0,0
252,252,9100792,7.8820000000000014,13.118,0.654,7.87,Spots,0,0,0
253,253,9138680,18.807,11.514,0.636,0.78,Faculae,0,0,1
254,254,9152469,8.054,13.62,0.597,5.01,Spots,0,0,0
255,255,9206636,22.581,14.394,0.599,1.43,Spots,0,0,1
256,256,9210192,17.968,14.342,0.682,3.85,Spots,0,0,1
257,257,9269023,7.962999999999999,15.24,0.629,8.87,,0,0,1
258,258,9274513,15.825,12.745,0.625,3.23,Spots,0,0,0
259,259,9334867,15.300999999999998,13.52,0.626,2.96,Spots,0,0,1
260,260,9335087,15.623,13.416,0.594,4.35,Spots,0,0,0
261,261,9397109,5.979,15.436,0.701,13.26,Spots,0,0,0
262,262,9509259,5.382999999999999,13.101,,8.31,Spots,0,0,1
263,263,9520089,1.4680000000000002,13.916,0.5820000000000001,26.68,Spots,0,0,1
264,264,9541809,5.8870000000000005,12.543,0.594,2.99,,0,0,0
265,265,9574801,14.03,12.661,0.628,4.15,Spots,0,0,0
266,266,9583465,16.28,15.627,0.721,3.73,Spots,0,0,0
267,267,9595725,18.739,13.829,0.5820000000000001,3.42,Spots,0,0,0
268,268,9643552,14.816,14.696,0.602,2.85,Spots,0,0,1
269,269,9650902,15.737,15.62,0.6759999999999999,8.25,Spots,0,0,0
270,270,9654240,12.018,14.786,0.59,4.21,,0,0,0
271,271,9692828,15.192,15.47,0.555,4.49,Spots,0,0,1
272,272,9715987,10.47,15.166,0.6,7.83,Spots,0,0,0
273,273,9716103,2.801,14.869000000000002,0.564,4.24,Faculae,0,0,0
274,274,9716112,9.541,14.834,0.617,3.7,Spots,0,0,0
275,275,9762293,12.612,15.130999999999998,0.737,6.07,Spots,0,0,1
276,276,9825405,11.017,14.498,0.642,7.43,Spots,0,0,0
277,277,9826597,7.564,13.249,0.5820000000000001,8.75,,0,0,0
278,278,9834008,19.392,14.175999999999998,0.62,1.58,Spots,0,0,0
279,279,9834255,65.157,13.366,0.616,1.08,Faculae,0,0,0
280,280,9893470,15.606,10.603,0.597,0.68,Faculae,0,0,0
281,281,9894105,2.463,14.589,0.639,5.49,Spots,0,0,0
282,282,9896700,10.258,15.188,0.628,13.78,,0,0,1
283,283,9898686,12.168,14.761,0.64,4.49,Spots,0,0,1
284,284,9957324,11.71,14.023,0.584,1.86,Spots,0,0,1
285,285,9959126,2.353,13.938,0.616,19.12,,0,0,1
286,286,10000330,16.075,14.325,0.628,3.37,,0,0,0
287,287,10001957,10.946,14.689,0.636,6.64,,0,0,1
288,288,10002816,15.627,13.773,0.557,4.25,Faculae,0,0,1
289,289,10016867,11.059,15.527,0.642,5.74,Spots,0,0,0
290,290,10017419,6.408,12.134,10.04,,3,0,0,0
291,291,10023341,6.162000000000001,14.552,0.62,3.84,Spots,0,0,0
292,292,10025841,11.866,10.795,1.1,,,0,0,0
293,293,10031308,15.547,12.713,0.627,0.42,Faculae,0,0,0
294,294,10053675,8.021,12.905,0.623,7.41,Spots,0,0,1
295,295,10063806,21.601,13.024,0.595,1.14,,0,0,0
296,296,10082757,12.27,15.235,0.613,10.03,Spots,0,0,1
297,297,10087717,11.091,11.938,0.589,0.64,,0,0,0
298,298,10087863,16.087,15.140999999999998,,4.6,Spots,0,1,0
299,299,10088130,14.048,14.65,1.87,,Spots,0,0,0
300,300,10088297,13.71,15.504,0.698,6.72,,0,0,0
301,301,10119471,2.7710000000000004,14.87,0.609,11.84,,0,0,1
302,302,10122937,6.324,11.218,0.555,7.74,,0,1,1
303,303,10156399,10.262,14.274,0.589,3.31,Spots,0,0,0
304,304,10186360,7.312,15.062,0.64,9.14,Spots,0,0,0
305,305,10222603,15.08,13.725,0.635,1.69,Spots,0,0,0
306,306,10272501,16.003,13.218,0.62,3.01,Spots,0,0,1
307,307,10280958,6.92,13.361,,5.21,,0,0,1
308,308,10281630,14.559,15.132,0.606,2.74,Spots,0,0,0
309,309,10287666,13.269,12.735,1.85,,Spots,0,0,0
310,310,10328797,14.018,13.249,0.589,3.64,Spots,0,0,1
311,311,10330600,23.095,14.036,0.61,1.85,Spots,0,0,0
312,312,10338343,14.418,14.349,3.02,,Spots,0,0,1
313,313,10450544,14.944,14.333,0.606,5.47,Spots,0,0,1
314,314,10464732,18.947,13.629,0.637,3.3,Spots,0,0,1
315,315,10514730,17.122,13.341,0.627,6.07,Spots,0,0,0
316,316,10526682,17.5,13.122,0.623,1.41,Spots,0,0,1
317,317,10550312,14.334,14.755999999999998,0.645,2.7,,0,0,0
318,318,10583379,3.731,14.199000000000002,0.602,8.99,Spots,0,0,0
319,319,10593790,21.857,15.548,0.71,2.29,Faculae,0,0,0
320,320,10594040,5.497000000000001,14.923,0.635,4.37,Spots,0,0,1
321,321,10600885,13.886,13.07,0.672,5.86,,0,0,0
322,322,10605103,11.153,15.844,0.643,5.71,,0,0,0
323,323,10611358,15.185,15.555,0.727,8.53,Faculae,0,0,1
324,324,10617164,13.705,14.859000000000002,0.672,6.46,Spots,0,0,0
325,325,10618260,25.425,9.99,,0.7,Faculae,0,0,0
326,326,10656897,11.140999999999998,14.863,0.644,9.03,Spots,0,0,1
327,327,10670595,5.459,15.067,0.662,12.13,,0,0,0
328,328,10675144,10.544,12.993,0.648,2.93,,0,0,1
329,329,10718853,15.987,12.447,0.629,2.31,Faculae,0,0,0
330,330,10723598,16.160999999999998,14.755999999999998,0.66,7.45,Spots,0,0,0
331,331,10731529,8.461,12.91,0.5710000000000001,6.27,Spots,0,0,0
332,332,10733905,16.283,13.958,0.604,0.92,Faculae,0,0,0
333,333,10733940,6.146,14.619000000000002,0.6579999999999999,7.98,Spots,0,0,0
334,334,10735454,18.441,14.983,0.669,2.91,Spots,0,0,0
335,335,10742090,14.6,14.71,0.595,2.23,Spots,0,0,0
336,336,10790803,19.701,13.092,0.623,1.68,Faculae,0,0,1
337,337,10814687,8.172,14.063,0.649,7.33,,0,0,0
338,338,10843735,13.645,15.188,0.617,1.8,,0,0,0
339,339,10862531,4.622,15.035,0.6809999999999999,11.52,Spots,0,0,0
340,340,10874056,13.573,14.302,0.6859999999999999,9.17,,0,0,1
341,341,10913968,13.811,13.96,0.632,8.95,Spots,0,0,1
342,342,10921242,1.765,13.598,0.569,8.19,Spots,0,1,0
343,343,10935491,5.1960000000000015,15.252,0.687,8.18,Spots,0,0,0
344,344,10935517,20.073,12.8,0.633,1.03,Faculae,0,0,0
345,345,10982884,12.398,14.403,0.648,4.72,,0,0,0
346,346,10983326,9.595,13.169,0.616,4.19,Spots,0,0,1
347,347,11014223,12.028,13.349,0.6409999999999999,9.9,Faculae,0,1,0
348,348,11029378,10.754,15.334,0.664,7.77,Faculae,0,0,1
349,349,11033434,10.537,12.987,0.607,3.7,,0,1,0
350,350,11043281,12.708,12.834,0.607,4.62,Spots,0,0,0
351,351,11044124,11.104,14.562,0.6509999999999999,6.49,Spots,0,0,0
352,352,11045856,17.154,14.537,0.7,7.99,Spots,0,0,0
353,353,11067986,14.973,14.386,0.684,2.62,Spots,0,0,0
354,354,11074801,14.579,15.317,0.655,3.61,Spots,0,0,1
355,355,11075287,19.161,13.26,0.662,1.3,Spots,0,0,1
356,356,11080522,8.758,14.253,0.6809999999999999,6.59,Spots,0,0,0
357,357,11082584,11.263,14.257,0.655,7.5,Faculae,0,0,1
358,358,11099510,14.776,14.612,0.675,4.54,Spots,0,0,0
359,359,11137289,17.744,14.879,0.672,4.62,Spots,0,0,0
360,360,11144428,9.443,15.117,0.562,6.49,Spots,0,0,1
361,361,11145294,13.247,15.068,0.62,4.51,Spots,0,0,1
362,362,11181612,10.343,14.511,0.622,6.2,Spots,0,0,1
363,363,11182009,14.771,14.566,0.632,5.08,Spots,0,0,1
364,364,11186450,15.925,15.004,0.6559999999999999,2.42,Spots,0,0,1
365,365,11197665,13.145,13.765999999999998,0.693,7.21,Spots,0,0,0
366,366,11235827,18.931,14.202,0.628,0.89,Faculae,0,0,1
367,367,11243446,12.42,14.292,0.5670000000000001,4.67,Spots,0,0,1
368,368,11244552,9.44,14.91,0.654,4.98,,0,0,0
369,369,11244980,1.318,13.409,0.583,10.46,Spots,0,0,1
370,370,11250420,8.446,14.373,0.598,9.7,Spots,0,0,1
371,371,11288330,16.809,11.216,0.617,1.01,,0,0,1
372,372,11296561,2.889,12.028,0.583,6.07,,0,0,1
373,373,11298340,16.669,14.435,0.647,2.96,Spots,0,0,1
374,374,11299398,10.843,12.991,0.5870000000000001,6.11,Spots,0,0,0
375,375,11299846,6.954,12.864,0.584,9.45,,0,0,0
376,376,11305962,19.94,14.647,0.691,3.48,Spots,0,0,0
377,377,11308629,10.854,12.296,0.59,2.21,Spots,0,0,1
378,378,11360892,5.7,12.895,0.586,1.24,Faculae,0,0,0
379,379,11394841,6.337999999999999,14.635,0.5720000000000001,2.24,Faculae,0,0,1
380,380,11402767,12.341,14.822,0.664,8.42,Spots,0,0,1
381,381,11415049,4.6530000000000005,13.38,0.5760000000000001,1.85,,0,1,1
382,382,11447497,17.36,15.424,0.66,2.49,Faculae,0,0,0
383,383,11447772,12.755,15.376,0.67,6.93,Spots,0,0,1
384,384,11454524,21.4,15.723,0.632,2.52,Spots,0,0,1
385,385,11454525,14.027,15.007,0.67,4.77,Spots,0,0,1
386,386,11455145,19.548,12.994000000000002,0.575,0.92,Spots,0,0,1
387,387,11455711,13.129,13.955,0.6559999999999999,4.01,Faculae,0,0,1
388,388,11457673,12.358,14.997,0.636,3.22,Spots,0,0,0
389,389,11462742,14.555,14.488,0.654,5.24,Spots,0,0,1
390,390,11464202,4.574,12.717,0.615,3.15,Spots,0,0,0
391,391,11465355,19.232,14.573,0.7040000000000001,3.65,Spots,0,0,1
392,392,11469284,9.591,14.703,0.7,10.09,Spots,0,0,1
393,393,11493473,15.739,13.630999999999998,0.5579999999999999,3.67,Spots,0,0,0
394,394,11499453,7.2879999999999985,10.658,0.5870000000000001,8.56,Spots,0,0,1
395,395,11506257,3.028,13.68,0.585,6.49,Faculae,0,0,1
396,396,11507958,30.71,12.319,0.615,0.84,Faculae,0,0,1
397,397,11512949,22.735,15.477,0.7140000000000001,3.38,Spots,0,0,0
